,MagpieData avg_dev Number,MagpieData avg_dev MendeleevNumber,MagpieData avg_dev AtomicWeight,MagpieData avg_dev MeltingT,MagpieData avg_dev Column,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData avg_dev Electronegativity,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData avg_dev NdValence,MagpieData avg_dev NValence,MagpieData avg_dev NsUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData avg_dev SpaceGroupNumber,avg ionic char,Miedema_deltaH_inter,spacegroup_num,crystal_system_int,is_centrosymmetric,sine coulomb matrix eig 0,sine coulomb matrix eig 6,sine coulomb matrix eig 7,sine coulomb matrix eig 8,sine coulomb matrix eig 9,sine coulomb matrix eig 10,sine coulomb matrix eig 11,sine coulomb matrix eig 12,sine coulomb matrix eig 13,sine coulomb matrix eig 14,sine coulomb matrix eig 15,structural complexity per atom,structural complexity per cell
49,0.96,2.88,2.27328,368.64,0.96,10.08,154,0.3984,0.48,1,1.44,0.96,0.48,1.44,5,0.96,6,3.6024,15.69,16.8,0.03797046,-0.090538409,12,6,TRUE,4463.100334,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
50,0.96,2.88,2.27328,368.64,0.96,10.08,175,0.3984,0.48,2,1.44,0.96,0.48,1.44,8,0.96,8,3.6024,23.195,16.8,0.03797046,-0.083993464,12,6,TRUE,4358.321487,0,0,0,0,0,0,0,0,0,0,1.521928095,7.609640474
51,0.64,1.92,1.51552,245.76,0.64,6.72,175,0.2656,0.32,2,0.96,0.64,0.32,0.96,8,0.64,8,2.4016,23.195,11.2,0.02531364,-0.044141709,87,4,TRUE,3629.05144,0,0,0,0,0,0,0,0,0,0,0.721928095,3.609640474
52,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,65,5,TRUE,4523.409091,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
53,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,10,6,TRUE,4618.805737,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
54,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,2,7,TRUE,4632.329099,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
55,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,123,4,TRUE,4581.08065,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
56,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,12,6,TRUE,4669.784557,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
57,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,65,5,TRUE,4577.947835,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
58,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,12,6,TRUE,4618.805737,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
59,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,164,3,TRUE,4881.769723,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
60,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,65,5,TRUE,4603.301531,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
61,0.555555556,1.666666667,1.315555556,213.3333333,0.555555556,5.833333333,154,0.230555556,0.277777778,1,0.833333333,0.555555556,0.277777778,0.833333333,5,0.555555556,6,2.084722222,15.69,9.722222222,0.021973646,-0.043812846,65,5,TRUE,4599.064084,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
62,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,67,5,TRUE,4456.05877,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
63,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,11,6,TRUE,4540.042974,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
64,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,2,7,TRUE,4551.768879,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
65,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,129,4,TRUE,4506.260706,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
66,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,12,6,TRUE,4588.522165,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
67,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,63,5,TRUE,4499.77801,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
68,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,12,6,TRUE,4540.042974,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
69,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,164,3,TRUE,4788.613072,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
70,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,63,5,TRUE,4523.451996,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
71,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,63,5,TRUE,4518.599494,0,0,0,0,0,0,0,0,0,0,1.584962501,9.509775004
72,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,65,5,TRUE,4446.68648,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
73,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,10,6,TRUE,4538.141076,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
74,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,2,7,TRUE,4549.455915,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
75,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,123,4,TRUE,4502.00206,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
76,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,12,6,TRUE,4584.331463,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
77,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,65,5,TRUE,4499.006302,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
78,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,12,6,TRUE,4538.141076,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
79,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,164,3,TRUE,4784.7619,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
80,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,65,5,TRUE,4523.80071,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
81,0.888888889,2.666666667,2.104888889,341.3333333,0.888888889,9.333333333,154,0.368888889,0.444444444,1,1.333333333,0.888888889,0.444444444,1.333333333,5,0.888888889,6,3.335555556,15.69,15.55555556,0.035157834,-0.081899423,65,5,TRUE,4519.914778,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
82,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,65,5,TRUE,4383.712291,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
83,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,10,6,TRUE,4457.643165,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
84,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,2,7,TRUE,4465.459586,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
85,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,123,4,TRUE,4427.345333,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
86,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,12,6,TRUE,4501.944169,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
87,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,65,5,TRUE,4415.749098,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
88,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,12,6,TRUE,4457.643165,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
89,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,164,3,TRUE,4691.02392,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
90,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,65,5,TRUE,4439.2451,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
91,1,3,2.368,384,1,10.5,154,0.415,0.5,1,1.5,1,0.5,1.5,5,1,6,3.7525,15.69,17.5,0.039552563,-0.093262213,65,5,TRUE,4433.236453,0,0,0,0,0,0,0,0,0,0,1.918295834,11.509775
