,Cluster 1,Cluster 2,Cluster 3,Cluster 7,Cluster 10,Cluster 24,Cluster 43,Cluster 44,Cluster 47,Cluster 49,Cluster 51,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 61,Cluster 64,Cluster 65,Cluster 66,Cluster 69,Cluster 72,Cluster 84,mean wt CN_1,mean bent 150 degrees CN_2,std_dev square pyramidal CN_5,mean wt CN_9,mean wt CN_11,std_dev wt CN_11,std_dev q2 CN_11,mean wt CN_13,std_dev wt CN_13,mean ordering parameter shell 2,xrd_36,xrd_97,xrd_112,xrd_117,xrd_123,jml_adf1_48,jml_adf1_82
73,0.27590183,-0.830488856,-0.737424762,-0.373447468,-0.216524885,0.565830617,-0.317344758,-0.254772669,-0.095516209,0.137512807,0.830383069,0.089177325,0.705971738,0.621318759,0.272011313,-0.076326536,0.526462971,0.103063093,0.707739705,0.311727484,0.403734702,0.326832933,-0.332539431,1.342051795,2.073280248,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087197,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
74,0.27590183,-0.830488856,-1.129189233,0.089385793,0.235159033,-0.177415279,-0.317344758,-0.254772669,-0.095516209,0.137512807,0.830383069,-0.066825027,0.705971738,0.621318759,1.202125661,0.26619401,0.98415186,0.103063093,0.707739705,0.034586448,0.403734702,0.326832933,-0.332539431,2.232916083,2.292102738,-0.547949578,0.615917692,1.095855141,2.487139056,2.175467591,2.169533956,-0.371396283,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
75,-1.452655807,1.778403019,1.22139758,-1.761947233,-1.797418584,-1.911655686,1.143397104,1.822896448,-0.095516209,-0.026505779,-0.088402022,1.493198483,-0.064184653,-0.187814106,0.504539902,-0.076326536,-0.083788871,-0.074797646,-0.087787498,1.420291621,0.060697831,-0.016116292,-0.332539431,-0.460704997,-0.525270416,0.800975828,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.86658649,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
76,-0.300284054,-0.178265882,-1.129189233,0.552219053,-0.442366844,0.070333353,-0.317344758,-0.254772669,-0.095516209,0.301531382,0.217859668,0.245179677,-0.064184653,0.783145334,0.504539902,0.26619401,0.526462971,0.280923821,0.866845148,0.588868521,0.403734702,-0.016116292,-0.332539431,-0.460698624,-0.525270416,-0.547949578,0.615917692,1.095855141,2.487139046,-0.427986448,-0.476452662,-0.482446631,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
77,-1.452655807,1.126180056,0.829633109,-1.761947233,-1.797418584,-1.911655686,0.413026173,1.043770532,-0.095516209,-0.026505779,-0.088402022,1.18119379,-0.064184653,-0.187814106,1.202125661,-0.076326536,-0.083788871,-0.074797646,-0.087787498,0.866009557,0.060697831,-0.016116292,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,0.866586497,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
78,-0.300284054,-0.830488856,-0.737424762,-0.373447468,0.009317074,0.070333353,-0.317344758,-0.254772669,0.590930992,0.301531382,0.830383069,0.089177325,-0.064184653,0.459492184,0.272011313,0.26619401,0.221337044,0.280923821,0.548634262,0.311727484,0.403734702,0.326832933,-0.332539431,0.886105686,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087191,-1.030667587,0.608822601,-0.699096042,-0.582493629,1.474864728,-0.09912279,-0.104541675
79,-1.452655807,0.473957081,1.613162051,-1.761947233,-1.797418584,-1.911655686,1.508582573,0.524353248,-0.095516209,-0.026505779,-0.088402022,1.025191438,-0.064184653,-0.187814106,0.272011313,-0.076326536,-0.083788871,-0.074797646,-0.087787498,1.420291621,0.060697831,-0.016116292,-0.332539431,-0.460704997,1.822540492,-0.547949578,0.615917692,1.095855141,-0.433558839,-0.427986448,-0.476452662,0.866586488,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
80,-0.300284054,-0.830488856,-0.345660291,0.552219053,-0.442366844,0.070333353,-0.317344758,-0.254772669,0.590930992,0.301531382,0.217859668,0.245179677,-0.064184653,0.783145334,0.504539902,0.608714568,0.526462971,0.280923821,0.866845148,-0.242554579,0.060697831,0.326832933,-0.332539431,-0.004758589,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,2.175467591,2.169533956,-0.520087191,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
81,-0.300284054,-0.178265882,-0.737424762,0.089385793,0.461000993,0.070333353,-0.317344758,-0.254772669,-0.095516209,0.301531382,0.524121369,0.557184381,-0.064184653,0.135839033,1.202125661,-0.076326536,0.831588897,0.280923821,0.230423376,0.311727484,0.060697831,-0.016116292,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.520087192,-1.027291876,0.601745222,-0.69916881,-0.58301274,1.464575388,-0.09912279,-0.104541675
82,2.004459467,1.126180056,0.437868637,-0.373447468,-1.345734681,-1.416158439,0.413026173,1.043770532,0.590930992,1.613680074,1.13664477,0.869189086,1.476128129,0.783145334,0.039482724,-0.076326536,0.831588897,0.99236678,0.230423376,-0.796836652,0.746771586,0.669782172,-0.332539431,-0.460692251,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,3.796778146,-0.062211856,-0.728660848,-0.687883733,1.942588902,-0.631582353,-0.09912279,-0.104541675
83,0.8520877,-0.178265882,-1.129189233,-0.373447468,-0.894050763,0.565830617,-1.047715697,-0.514481311,-1.468410625,-0.190524366,-0.394663722,-0.846836777,0.320893538,-0.996946982,-1.123160213,-0.761367652,-0.083788871,-0.252658386,-0.883314713,-1.351118715,-0.453857494,-0.359065531,-0.332539431,2.232915962,-0.525270416,-0.547949578,1.969997293,1.095855141,-0.433558867,-0.427986448,-0.476452662,-0.940627165,-0.062211856,-0.728660848,-0.687883733,1.942588902,-0.631582353,-0.09912279,-0.104541675
84,-0.300284054,-1.482711819,-1.129189233,-0.373447468,-0.442366844,-0.425163911,-1.047715697,-1.55331587,-0.781963424,-1.010617299,-0.088402022,-1.002839129,-0.064184653,-0.511467256,0.039482724,-0.761367652,-0.083788871,-0.786240606,-0.087787498,-0.242554579,-0.282339053,-0.702014769,-0.332539431,-0.460704997,-0.525270416,-0.547949578,-0.738161908,-0.809233089,-0.433558928,-0.427986448,-0.476452662,-0.267763209,-0.062211856,-0.728660848,-0.687883733,1.942588902,-0.631582353,-0.09912279,-0.104541675
